t_ms,s1,s2,s1_norm,s2_norm,thr1,thr2,line1,line2
31156,239,208,,,,,,
31256,240,208,,,,,,
31356,216,204,,,,,,
31456,235,208,,,,,,
31556,230,208,,,,,,
31656,211,214,,,,,,
31756,240,210,,,,,,
31856,234,211,,,,,,
31956,234,215,,,,,,
32056,238,211,,,,,,
32156,235,208,,,,,,
32256,237,211,,,,,,
32356,235,213,,,,,,
32456,237,211,,,,,,
32556,238,209,,,,,,
32656,234,209,,,,,,
32756,240,214,,,,,,
32856,231,218,,,,,,
32956,233,209,,,,,,
33056,234,212,,,,,,
33156,235,212,,,,,,
33256,237,212,,,,,,
33356,237,215,,,,,,
33456,240,213,,,,,,
33556,255,217,,,,,,
33656,268,226,,,,,,
33756,262,227,,,,,,
33856,235,234,,,,,,
33956,240,199,,,,,,
34056,245,232,,,,,,
34156,244,228,,,,,,
34256,259,229,,,,,,
34356,267,236,,,,,,
34456,252,228,,,,,,
34556,247,225,,,,,,
34656,243,222,,,,,,
34756,245,224,,,,,,
34856,247,223,,,,,,
34956,246,223,,,,,,
35056,245,223,,,,,,
35156,246,228,,,,,,
35256,243,219,,,,,,
35356,247,223,,,,,,
35456,241,235,,,,,,
35556,240,221,,,,,,
35656,245,222,,,,,,
35756,251,222,,,,,,
35856,245,221,,,,,,
35956,243,221,,,,,,
36056,239,219,,,,,,
36156,243,221,,,,,,
36256,239,223,,,,,,
36356,241,220,,,,,,
36456,206,223,,,,,,
36556,241,223,,,,,,
36656,240,218,,,,,,
36756,250,220,,,,,,
36856,240,213,,,,,,
36956,223,225,,,,,,
37056,256,220,,,,,,
37156,247,225,,,,,,
37256,243,218,,,,,,
37356,245,218,,,,,,
37456,243,223,,,,,,
37556,254,222,,,,,,
37656,242,224,,,,,,
37756,240,226,,,,,,
37856,240,217,,,,,,
37956,241,221,,,,,,
38056,242,219,,,,,,
38156,240,218,,,,,,
38256,240,219,,,,,,
38356,240,219,,,,,,
38456,241,221,,,,,,
38556,243,224,,,,,,
38656,240,220,,,,,,
38756,240,222,,,,,,
38856,242,213,,,,,,
38956,245,219,,,,,,
39056,242,216,,,,,,
39156,240,223,,,,,,
39256,227,217,,,,,,
39356,247,214,,,,,,
39456,240,221,,,,,,
39556,240,208,,,,,,
39656,247,221,,,,,,
39756,241,222,,,,,,
39856,238,216,,,,,,
39956,251,223,,,,,,
40056,227,255,,,,,,
40156,229,226,,,,,,
40256,239,219,,,,,,
40356,253,245,,,,,,
40456,240,215,,,,,,
40556,243,215,,,,,,
40656,239,203,,,,,,
40756,235,192,,,,,,
40856,240,224,,,,,,
40956,245,215,,,,,,
41056,241,224,,,,,,
41156,242,220,,,,,,
41256,240,210,,,,,,
41356,240,227,,,,,,
41456,240,226,,,,,,
41556,240,211,,,,,,
41656,238,221,,,,,,
41756,235,217,,,,,,
41856,236,251,,,,,,
41956,233,219,,,,,,
42056,240,219,,,,,,
42156,245,216,,,,,,
42256,240,220,,,,,,
42356,246,225,,,,,,
42456,240,215,,,,,,
42556,240,222,,,,,,
42656,246,215,,,,,,
42756,244,221,,,,,,
42856,240,214,,,,,,
42956,242,218,,,,,,
43056,238,215,,,,,,
43156,224,218,,,,,,
43256,241,213,,,,,,
43356,240,214,,,,,,
43456,243,220,,,,,,
43556,240,221,,,,,,
43656,241,221,,,,,,
43756,240,215,,,,,,
43856,271,220,,,,,,
43956,229,213,,,,,,
44056,227,228,,,,,,
44156,243,219,,,,,,
44256,256,223,,,,,,
44356,242,216,,,,,,
44456,242,208,,,,,,
44556,246,209,,,,,,
44656,238,222,,,,,,
44756,240,209,,,,,,
44856,241,209,,,,,,
44956,224,218,,,,,,
45056,240,212,,,,,,
45156,240,217,,,,,,
45256,238,221,,,,,,
45356,248,222,,,,,,
45456,240,219,,,,,,
45556,237,215,,,,,,
45656,241,217,,,,,,
45756,250,228,,,,,,
45856,305,279,,,,,,
45956,377,353,,,,,,
46056,361,337,,,,,,
46156,331,304,,,,,,
46256,326,304,,,,,,
46356,320,298,,,,,,
46456,308,293,,,,,,
46556,355,336,,,,,,
46656,320,303,,,,,,
46756,314,285,,,,,,
46856,308,287,,,,,,
46956,304,283,,,,,,
47056,303,282,,,,,,
47156,301,263,,,,,,
47256,303,277,,,,,,
47356,299,277,,,,,,
47456,302,275,,,,,,
47556,298,274,,,,,,
47656,297,272,,,,,,
47756,294,277,,,,,,
47856,295,272,,,,,,
47956,286,272,,,,,,
48056,301,262,,,,,,
48156,289,274,,,,,,
48256,304,256,,,,,,
48356,300,267,,,,,,
48456,278,287,,,,,,
48556,288,270,,,,,,
48656,289,269,,,,,,
48756,286,268,,,,,,
48856,283,240,,,,,,
48956,283,262,,,,,,
49056,279,262,,,,,,
49156,285,269,,,,,,
49256,273,258,,,,,,
49356,286,261,,,,,,
49456,281,259,,,,,,
49556,282,266,,,,,,
49656,305,256,,,,,,
49756,278,259,,,,,,
49856,278,262,,,,,,
49956,282,265,,,,,,
50056,278,261,,,,,,
50156,278,259,,,,,,
50256,278,260,,,,,,
50356,279,258,,,,,,
50456,266,257,,,,,,
50556,307,262,,,,,,
50656,278,258,,,,,,
50756,274,253,,,,,,
50856,263,256,,,,,,
50956,284,243,,,,,,
51056,271,250,,,,,,
51156,326,287,,,,,,
51256,307,285,,,,,,
51356,304,278,,,,,,
51456,304,284,,,,,,
51556,295,272,,,,,,
51656,298,275,,,,,,
51756,298,272,,,,,,
51856,299,278,,,,,,
51956,354,277,,,,,,
52056,349,315,,,,,,
52156,336,322,,,,,,
52256,316,332,,,,,,
52356,331,320,,,,,,
52456,318,266,,,,,,
52556,314,271,,,,,,
52656,314,262,,,,,,
52756,318,269,,,,,,
52856,327,275,,,,,,
52956,331,272,,,,,,
53056,325,263,,,,,,
53156,336,282,,,,,,
53256,341,289,,,,,,
53356,327,291,,,,,,
53456,325,273,,,,,,
53556,325,275,,,,,,
53656,498,456,,,,,,
53756,379,317,,,,,,
53856,367,304,,,,,,
53956,346,298,,,,,,
54056,346,301,,,,,,
54156,336,295,,,,,,
54256,340,291,,,,,,
54356,340,287,,,,,,
54456,336,288,,,,,,
54556,335,283,,,,,,
54656,325,283,,,,,,
54756,336,267,,,,,,
